index,profil,challenge,photo1_id,photo2_id,winner_id,votes1,votes2,ratio1,ratio2
690,caloune,Super Shots,2eb57641c36702cd220d3c303e3c2a7c,0c74b5be84fe91646e6487c48d3d06c9,20a8765ffa501a9df25171d91d510db0,866,227,1.5,1.5
698,caloune,12 Hours,5ea1a8ad1fd2ef883e7a9b60ea6ae5c0,26db8a0d1e18e9004bc737faf1643cef,08939b02dd3dd0058bf32a543791db64,253,461,1.5,1.5
699,caloune,12 Hours,2794b6d196bae44a3ca364f15c7bd1ce,24fa5be2835c64107fde598decbdf784,08939b02dd3dd0058bf32a543791db64,314,542,1.33,0.75
700,caloune,12 Hours,2794b6d196bae44a3ca364f15c7bd1ce,cda6550e46100c7edf083b8dd8c7fb4a,08939b02dd3dd0058bf32a543791db64,314,976,1.33,1.33
718,caloune,Repeated Subjects,2dd6b010b1cbef3da50c608a14d23718,02a040aaa47d7a3c0503432d508d1461,33dc1a724f1c1e619b752c55e2e164b1,259,906,1.78,1.6
719,caloune,Repeated Subjects,44c5f4b76ee8c59a9304d961df63dc55,3bccc9b0f9a5b0d618615aff5617c796,33dc1a724f1c1e619b752c55e2e164b1,197,332,1.53,1.33
910,bruno,Creative Focus,33b2133dd6a25cd266b68d54c639382b,3e656895643a16d505872c3707f8ef99,2ae9332fd7b4ca3d575366d03e3c3977,384,805,1.33,0.94
911,bruno,Creative Focus,3bb9ac8724d9b2a9e4f7f371a720c3f3,0c93808cee5e805a5e772b46d599406b,2ae9332fd7b4ca3d575366d03e3c3977,247,232,1.49,0.94
912,bruno,Creative Focus,26d90afd7192ce75b1c4a5ad4cf50623,322a6c4808874166a082708a2f07a2cf,2ae9332fd7b4ca3d575366d03e3c3977,160,867,1.78,1.33
913,bruno,Creative Focus,26d90afd7192ce75b1c4a5ad4cf50623,39585ef7c8d2cc04b73387ecfd10eca6,2ae9332fd7b4ca3d575366d03e3c3977,160,324,1.78,1.15
921,bruno,Built Among Nature,2f5f6a6bf7b24d3ca9670cc7ca372dca,00e938106deb2426388c19e2b2f5e4c4,59f4bfc18e4b5098370bb4106e3dc7ba,1028,996,1.5,1.47
922,bruno,Built Among Nature,00ffa6614320daf86f5179244b2bf2d3,238506a01ee35798b239b9018080db8e,59f4bfc18e4b5098370bb4106e3dc7ba,557,1933,1.5,1.5
